team_id,team_name,fifa_code,fifa_ranking_pre_tournament,squad_size,average_squad_age,median_squad_age,min_squad_age,max_squad_age,ranking_group
1,Mexico,MEX,14,26,27.901273179410307,28.52214624530278,17.656762288068887,40.912544405429266,Higher-ranked
2,South Africa,RSA,60,26,26.808953587737545,25.89238656509032,20.725956042903004,36.8549662210723,Lower-ranked
3,South Korea,KOR,22,26,28.066284728639193,28.515301477785307,22.80676536821427,35.69683155711616,Higher-ranked
4,Czechia,CZE,40,26,27.62137484000356,27.07516239210935,18.009952291970404,35.841940628486554,Lower-ranked
5,Canada,CAN,33,26,26.97322800815686,26.62340773595625,20.662984181742267,33.9965913057763,Lower-ranked
6,Bosnia and Herzegovina,BIH,64,26,26.45702723322387,27.677501933646823,18.6780016016756,40.236281374703104,Lower-ranked
7,Qatar,QAT,56,26,29.50831928839691,29.59814369904926,19.986721151016106,36.441542263017034,Lower-ranked
8,Switzerland,SUI,19,26,28.30764176171679,28.91640485430912,20.65750836772829,34.15538991218163,Higher-ranked
9,Brazil,BRA,6,26,29.36363143348913,29.010862646050228,19.855301614680656,38.494972518258415,Higher-ranked
10,Morocco,MAR,7,26,26.599503701702925,25.87048330903441,18.691691136710542,37.08768831666632,Higher-ranked
11,Haiti,HAI,83,26,27.508699436254417,26.283907267089674,20.203015804568196,38.36629088892996,Lower-ranked
12,Scotland,SCO,39,26,29.203042657117688,29.914371958356433,19.231058817087277,43.44510838689364,Lower-ranked
13,USA,USA,17,26,26.905517461791717,26.795895877396525,21.837546287740338,38.68388810174062,Higher-ranked
14,Paraguay,PAR,54,26,29.00317544560753,29.674805095244942,20.87654092828737,38.20201646851065,Lower-ranked
15,Australia,AUS,27,26,27.36001002495181,27.117599950717672,18.765614625899232,35.48601271757805,Lower-ranked
16,Türkiye,TUR,26,26,27.67276324844242,27.50638274571004,20.580846971532612,37.27934180715552,Higher-ranked
17,Germany,GER,10,26,28.047329987821577,27.569354606870775,20.090761617281668,40.20890230463322,Higher-ranked
18,Curaçao,CUW,82,26,28.021530479486497,27.10117250867574,22.352272805054177,37.34231366831626,Lower-ranked
19,Côte d'Ivoire,CIV,38,26,25.849527790019383,25.36533946624503,19.57329719296084,34.897362711075516,Lower-ranked
20,Ecuador,ECU,23,26,26.07814302510292,25.680198772048705,19.105115094765807,39.20135252606145,Higher-ranked
21,Netherlands,NED,8,26,27.775013544741874,27.099803555172247,20.263249758721944,35.20400829585823,Higher-ranked
22,Japan,JPN,18,26,27.495747030029047,27.179202858374914,21.02164999965776,39.74619602045217,Higher-ranked
23,Sweden,SWE,25,26,27.55766585003325,27.68982251517827,20.353600689952565,36.96722040835883,Higher-ranked
24,Tunisia,TUN,45,26,26.645205687896503,26.87803308760618,18.732759741815368,32.47431500989069,Lower-ranked
25,Belgium,BEL,9,26,27.615056593064352,25.756860168244387,20.862851393252427,37.41076134349097,Higher-ranked
26,Egypt,EGY,36,26,29.0595131474821,28.713799735791973,18.442541599074588,39.009699035572254,Lower-ranked
27,IR Iran,IRN,20,26,30.333166426310022,31.3271319739625,20.167423013477347,37.07673668863837,Higher-ranked
28,New Zealand,NZL,85,26,28.267626197768497,27.207950881948292,21.3693641895453,37.813233673518276,Lower-ranked
29,Spain,ESP,2,26,26.747982504774225,27.04915227554296,18.91346160427661,33.39698967124581,Higher-ranked
30,Cabo Verde,CPV,67,26,29.67701648167366,29.28876020725956,23.603496307247923,40.022724628158,Lower-ranked
31,Saudi Arabia,KSA,58,26,28.5166704312888,27.117599950717675,22.976515602647556,35.09449201557869,Lower-ranked
32,Uruguay,URU,16,26,28.742863671712314,27.84314530756963,24.474150735470268,39.98713183706715,Higher-ranked
33,France,FRA,3,26,27.00155481526762,27.261340068584573,20.260511851714956,35.20400829585823,Higher-ranked
34,Senegal,SEN,15,26,27.08779888598776,26.693224364634453,18.37956973791385,36.70711924269492,Higher-ranked
35,Iraq,IRQ,55,26,26.915310744547487,25.821200982908614,22.237280710760658,35.0671129455088,Lower-ranked
36,Norway,NOR,44,26,26.80474142311141,26.956063437305353,21.150331628986223,35.75158969725593,Lower-ranked
37,Argentina,ARG,1,26,29.118799364594967,28.28805519620526,21.755409077530683,38.96589252346044,Higher-ranked
38,Algeria,ALG,28,26,26.857920001516376,26.35098598876089,20.54525418044176,35.30257294810982,Lower-ranked
39,Austria,AUT,24,26,28.612075960070783,28.81510229505055,20.465854877239096,37.14518436381308,Higher-ranked
40,Jordan,JOR,63,26,28.46612445577517,28.872598342197307,20.55072999445574,34.39906363580361,Lower-ranked
41,Portugal,POR,5,26,28.035851839215358,26.86571250607473,21.7033888443979,41.34513371253345,Higher-ranked
42,Congo DR,COD,61,26,29.069306430237866,29.4215486970985,21.402219073629166,35.16841550476738,Lower-ranked
43,Uzbekistan,UZB,50,26,28.21381579466961,28.694634386743054,18.8450139291019,35.43399248444526,Lower-ranked
44,Colombia,COL,13,26,30.089913919150657,29.702184165314826,22.886164671416935,37.77764088242743,Higher-ranked
45,England,ENG,4,26,27.27376595423167,26.72197238820783,21.144855814972242,35.98431179284996,Higher-ranked
46,Croatia,CRO,11,26,28.329334409541396,28.260676126135376,19.294030678248014,40.75374579902394,Higher-ranked
47,Ghana,GHA,49,26,26.975755306932538,26.938267041759925,20.40288301607836,34.749515732698136,Lower-ranked
48,Panama,PAN,34,26,30.427203001588513,29.8514000971957,24.643900969903555,38.48128298322347,Lower-ranked
